id,firstname,lastname,faculty,year_of_birth,year_of_admission,idnp
1,Priscilla,Grimbly,Physics,2003,2020,8856888096628
2,Alyda,Lanita,Chemistry,2004,2014,5206656795333
3,Lorie,Halsey,Informatics,2002,2022,5514107176128
4,Elena,Ailyn,Chemistry,1999,2020,8673897802121
5,Catharine,Ardeha,Informatics,1996,2017,8056033669085
6,Tina,Wandie,Mathematics,1997,2018,3565950764705
7,Florie,Vacuva,Chemistry,1996,2017,4445070232511
8,Lusa,Bollay,Mathematics,2004,2021,8999301321019
9,Valera,Horan,Physics,1998,2015,7374175687319
10,Luci,Telfer,Chemistry,1997,2022,5293224209380
11,Calla,Newell,Mathematics,2002,2020,4718040603546
12,Ida,Cleo,Physics,2001,2009,68087345317794
13,Nariko,Kolnick,Mathematics,1996,2022,6143216851239
14,Hallie,Hoenack,Mathematics,1999,2014,7740248736881
15,Bettine,Kress,Informatics,1997,2016,6270697582393
16,Ericka,Joli,Chemistry,2003,2014,3621475572025
17,Lilith,Gombach,Informatics,1997,2020,2222132838544
18,Judy,Lutero,Informatics,1994,2016,8905730041535
19,Chastity,Lia,Mathematics,1996,2018,6215343290016
20,Danika,Imelida,Chemistry,1995,2023,3035191225787
21,Alyda,Zeeba,Physics,2000,2026,3293116125472
22,Doralynne,Sadowski,Chemistry,2000,2022,7467420350812c
23,Daphne,Mandler,Chemistry,2002,2015,2875316088121
24,Minda,Christal,Informatics,1996,2022,7174574659141
25,Latisha,Loring,Chemistry,2002,2020,6705784281528
26,Christal,Rosette,Chemistry,1996,2020,5326905930146
27,Blake,Sadowski,Mathematics,2001,2017,2012028723913
28,Allis,Bebe,Chemistry,1993,2020,8187609391950
29,Camile,Philoo,Informatics,2002,2023,3248494035061
30,Andree,Ralfston,Physics,2000,2016,2482009269536
31,Bill,Hoban,Chemistry,1997,2021,8796852402927
32,Lelah,Merell,Mathematics,1996,2023,6181245033481
33,Dorothy,Bergman,Chemistry,1998,2020,5260954071746
34,Emma,Lipson,Mathematics,2001,2021,2024763637746
35,Allyce,Elbertina,Chemistry,2003,2015,3013955058665
36,Helsa,Aaberg,Physics,2003,2023,5665200444208
37,Jessamyn,Frendel,Informatics,1996,2019,7223982261901
38,Tersina,My,Chemistry,2000,2015,8228920412771
39,Meriel,Olnee,Informatics,2002,2019,3104287150020
40,Oralee,Japeth,Physics,1996,2015,4331879405180
41,Sarette,Emerson,Informatics,1999,2016,5284214139013
42,Allis,Saunderson,Mathematics,1996,2022,4002387868780
43,Candi,Byrne,Informatics,2002,2020,8651157438479
44,Kore,Rudolph,Informatics,1999,2019,8959991583248
45,Charissa,Margret,Chemistry,2004,2014,3898819885435
46,Clary,Mitzi,Mathematics,1999,2018,8803153846913
47,Ashlee,Faso,Chemistry,2002,2018,3397495240497
48,Roslyn,Curren,Informatics,1999,2017,6347604173973
49,Kerrin,Mehalek,Mathematics,2003,2021,2250645893530
50,Johna,Dunkin,Physics,2000,2017,8407752656758
51,Orsola,Ilka,Informatics,2004,2020,2761056576605
52,Alisha,Jotham,Chemistry,2003,2021,3348529771109
53,Queenie,Ader,Chemistry,2002,2014,3192276557689
54,Fina,Muriel,Mathematics,2003,2015,2103997549720
55,Dyann,Bollay,Informatics,2004,2023,5477883696354
56,Evita,Kosey,Physics,1998,2017,2573360161514
57,Ebonee,Moseley,Informatics,1998,2019,8523981973160
58,Olivette,O'Neill,Chemistry,2004,2022,4796104789045
59,Bernie,Gillan,Mathematics,2004,2017,5734854421650
60,Kylynn,Bonucci,Chemistry,1996,2014,6121662040909
61,Madalyn,Annabella,Informatics,2002,2016,5014591359815
62,Gertrud,Monk,Informatics,1997,2022,2755215841573
63,Deloria,Bendick,Chemistry,1995,2020,8839426638654
64,Clarice,Warthman,Mathematics,1998,2021,2231360156641
65,Berget,Buckler,Informatics,1981,2021,7335864279398
66,Yvonne,Mich,Informatics,1999,2016,7051804509748
67,Latisha,Fennessy,Informatics,1998,2015,8550026081582
68,Verla,Bouchard,Informatics,1995,2020,8806508750976
69,Lorne,Caitlin,Informatics,2003,2016,5427428119575
70,Valeda,Esmaria,Physics,1997,2015,2148942052146
71,Lilith,Dosia,Physics,2002,2018,7053168149334
72,Marguerite,Lia,Physics,2002,2014,2003795766825
73,Briney,Lymann,Chemistry,1995,2018,4416623348820
74,Morganica,Vernier,Chemistry,2000,2023,3870911643249
75,Elsie,Dielu,Physics,1997,2023,4541000764165
76,Amalie,Stevy,Mathematics,1998,2015,6204289149820
77,Jan,Braun,Physics,1998,2014,7908118969355
78,Genevra,Sandye,Physics,2004,2018,8666390477697
79,Rhoda,Marisa,Chemistry,2000,2017,3861915564416
80,Jacenta,Ajay,Chemistry,2004,2020,6726268851890
81,Alyssa,Maisey,Physics,2003,2019,3700160275638
82,Viviene,Gregrory,Mathematics,2004,2019,3352970987128
83,Celisse,Carey,Chemistry,2002,2017,6763301172407
84,Jacquetta,Douglass,Chemistry,2002,2021,5540071831289
85,Paulita,Publia,Mathematics,2003,2019,6934285093784
86,Jennica,Cavan,Physics,2004,2022,2781111167647
87,Vivia,Kauppi,Informatics,1995,2020,5780871877493
88,Fawne,Docilla,Informatics,1995,2017,5187599836339
89,Adelle,Obed,Physics,1996,2019,3640677253898
90,Donnie,Stephie,Informatics,1999,2021,4236846550736
91,Claudina,Corabella,Chemistry,2002,2021,2637874573085
92,Deane,Bronk,Mathematics,2003,2019,6358630133523
93,Taffy,Tarrant,Chemistry,1998,2019,6616903276660
94,Sharlene,Gale,Chemistry,1995,2018,6285407601984
95,Nananne,Swanhildas,Chemistry,1998,2015,8508019084400
96,Ketti,Salchunas,Chemistry,1997,2017,8272469131554
97,Dennie,Avi,Chemistry,2003,2023,8385724109596
98,Elfreda,Edison,Mathematics,1996,2019,2205782901644
99,Modestia,Schalles,Chemistry,2003,2015,7352106009817
100,Orsola,Faust,Informatics,2004,2014,4400658783637
101,Kassey,Imelida,Physics,2001,2014,3532551374486
102,Paola,Taam,Physics,1998,2021,4887383788053
103,Nita,Urania,Informatics,1999,2019,8735113319468
104,Fanny,Medrek,Physics,2002,2014,4857552690797
105,Aurelie,Valerio,Informatics,1995,2022,8851355937951
106,Gratia,Wenda,Informatics,1998,2022,4030590411221
107,Silvana,Ortrude,Mathematics,2001,2014,2916824827385
108,Sabina,Primalia,Physics,1999,2019,5292622568731
109,Mallory,Liva,Informatics,1999,2014,2708951865927
110,Quintina,Gaspard,Physics,2003,2020,5121946572193
111,Darci,Lubin,Chemistry,2003,2019,6251839446901
112,Magdalena,Lynn,Chemistry,1995,2023,4099578032562
113,Kate,Hathaway,Mathematics,1998,2023,5825984704643
114,Ellette,Merell,Chemistry,2000,2019,5198613280816
115,Konstance,Marijo,Chemistry,2001,2022,3245164918845
116,Libbie,Genna,Informatics,1999,2018,8457625240224
117,Yetty,Celestine,Physics,1995,2020,5681149081831
118,Lorie,Iaverne,Mathematics,1997,2019,5790341549720
119,Constance,Ashok,Chemistry,2002,2016,6523292253595
120,Merci,Dominy,Physics,1995,2014,5754582380994
121,Georgina,Jess,Mathematics,2004,2023,4295102029884
122,Asia,Haymes,Chemistry,1997,2017,7105601524301
123,Jolyn,Curren,Chemistry,1997,2022,2693326739017
124,Florencia,Ricki,Mathematics,1999,2020,2171652723922
125,Tamqrah,Kazimir,Chemistry,1999,2014,6008706506279
126,Zsa Zsa,Trey,Physics,2002,2016,8404486041619
127,Deedee,Jary,Physics,1999,2021,5084544602808
128,Valli,Tarrant,Informatics,2000,2015,4360595550645
129,Adriana,Allare,Physics,2004,2022,2117044585549
130,Correy,Lowry,Physics,1995,2018,5864581941059
131,Agnese,Forrer,Physics,2001,2014,3111578943728
132,Jerry,Bryna,Chemistry,2001,2022,4718601233476
133,Consuela,Vittoria,Informatics,2004,2015,2361233941845
134,Queenie,Leffen,Physics,1996,2017,6849211423722
135,Valera,Chinua,Physics,1997,2018,5667967577006
136,Shaylyn,Pascia,Mathematics,2001,2019,8611850138845
137,Genovera,Nikaniki,Informatics,1996,2017,2362053085936
138,Aigneis,Salvidor,Mathematics,2001,2014,7269333268934
139,Adriana,Poll,Informatics,2004,2020,7223129304931
140,Cassondra,Adlare,Chemistry,1998,2017,2450430128364
141,Cathie,Mathilde,Mathematics,1995,2015,4193788075372
142,Joeann,Cynar,Chemistry,1998,2020,6045522549027
143,Jeanna,Santoro,Informatics,1995,2021,4019776387971
144,Meriel,Pyle,Chemistry,1995,2023,3046363100447
145,Carmela,Stilwell,Informatics,1998,2017,7928798881407
146,Phylis,Faust,Physics,1997,2017,4791585472423
147,Hildegaard,Seumas,Physics,1995,2022,2339699734978
148,Kimmy,Lytton,Mathematics,2002,2018,4955863596402
149,Rivalee,Saunderson,Chemistry,1999,2017,3881178176346
150,Olivette,Margarete,Informatics,2001,2022,8243285840563
151,Rayna,Xerxes,Physics,2000,2015,5581484858618
152,Edyth,Miru,Informatics,1996,2014,8935042583059
153,Mureil,Brittani,Physics,2002,2022,6240527404527
154,Leona,Orelee,Mathematics,2000,2019,4471762412913
155,Sadie,Kalinda,Mathematics,2004,2020,8765968091806
156,Dione,Therine,Chemistry,2003,2020,8946249239539
157,Caritta,Melony,Informatics,1997,2019,6598110124407
158,Norine,Karna,Informatics,2002,2022,7233308088028
159,Margalo,Shaver,Physics,2002,2022,5925358532842
160,Nadine,Hanshaw,Physics,2002,2017,8996176562329
161,Elmira,Roarke,Informatics,1995,2015,6562404350742
162,Debee,Leifeste,Physics,1999,2014,2745921996966
163,Millie,Birdella,Informatics,2000,2021,5372911172001
164,Allis,Fosque,Physics,1999,2020,2070282646076
165,Tami,Rocray,Mathematics,2004,2014,5206953860602
166,Shirlee,Genna,Informatics,1997,2016,4085145512955
167,Elfreda,Malina,Physics,2003,2020,8755801857503
168,Celestyna,Gusella,Informatics,2001,2020,4354798818502
169,Sonni,Geffner,Chemistry,1998,2017,6609422646930
170,Morganica,Linehan,Chemistry,2000,2019,4407908380989
171,Sabina,Dahlia,Informatics,2004,2015,7750842747477
172,Sean,Dash,Informatics,1996,2019,4607800639458
173,Cathyleen,Vorster,Chemistry,1995,2016,4052468554476
174,Maud,Gamaliel,Informatics,2004,2023,5104221146495
175,Lynea,Kosey,Mathematics,1997,2023,4027614791212
176,Shel,Tamar,Mathematics,2002,2021,3652535572007
177,Marsiella,Fink,Informatics,2004,2018,2910539647307
178,Aubrie,Lattie,Informatics,1997,2015,7228769356582
179,Vevay,Eiser,Physics,1997,2022,3122921008107
180,Lynnea,Merna,Physics,2002,2022,6760573458825
181,Agnese,Pascia,Physics,2000,2015,5381906367040
182,Flo,Pauly,Informatics,2000,2021,7154629489356
183,Gerrie,Bakerman,Chemistry,2000,2020,3624107624164
184,Etta,Engdahl,Informatics,1996,2022,7567752617148
185,Lynde,Nadia,Mathematics,1999,2021,6701293756342
186,Lanna,Wesle,Physics,1996,2020,4516560319021
187,Glynnis,Zamora,Chemistry,1999,2021,2865758039417
188,Mireielle,Abernon,Physics,2000,2016,5952168345686
